org,model,modelId
ByteDance-Seed,BAGEL-7B-MoT,ByteDance-Seed/BAGEL-7B-MoT
ByteDance-Seed,SAIL-7B,ByteDance-Seed/SAIL-7B
ByteDance-Seed,Seed-Coder-8B-Base,ByteDance-Seed/Seed-Coder-8B-Base
ByteDance-Seed,Seed-Coder-8B-Instruct,ByteDance-Seed/Seed-Coder-8B-Instruct
ByteDance-Seed,Seed-Coder-8B-Reasoning,ByteDance-Seed/Seed-Coder-8B-Reasoning
ByteDance-Seed,Seed-Coder-8B-Reasoning-bf16,ByteDance-Seed/Seed-Coder-8B-Reasoning-bf16
ByteDance-Seed,Seed-OSS-36B-Base,ByteDance-Seed/Seed-OSS-36B-Base
ByteDance-Seed,Seed-OSS-36B-Base-woSyn,ByteDance-Seed/Seed-OSS-36B-Base-woSyn
ByteDance-Seed,Seed-OSS-36B-Instruct,ByteDance-Seed/Seed-OSS-36B-Instruct
ByteDance-Seed,VINCIE-3B,ByteDance-Seed/VINCIE-3B
ByteDance-Seed,academic-ds-9B,ByteDance-Seed/academic-ds-9B
HuggingFaceTB,FineMath-Llama-3B,HuggingFaceTB/FineMath-Llama-3B
HuggingFaceTB,SmolLM-1.7B,HuggingFaceTB/SmolLM-1.7B
HuggingFaceTB,SmolLM-1.7B-Instruct,HuggingFaceTB/SmolLM-1.7B-Instruct
HuggingFaceTB,SmolLM-135M,HuggingFaceTB/SmolLM-135M
HuggingFaceTB,SmolLM-135M-Instruct,HuggingFaceTB/SmolLM-135M-Instruct
HuggingFaceTB,SmolLM-360M,HuggingFaceTB/SmolLM-360M
HuggingFaceTB,SmolLM-360M-Instruct,HuggingFaceTB/SmolLM-360M-Instruct
HuggingFaceTB,SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B
HuggingFaceTB,SmolLM2-1.7B-Instruct,HuggingFaceTB/SmolLM2-1.7B-Instruct
HuggingFaceTB,SmolLM2-1.7B-Instruct-16k,HuggingFaceTB/SmolLM2-1.7B-Instruct-16k
HuggingFaceTB,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M
HuggingFaceTB,SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-135M-Instruct
HuggingFaceTB,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M
HuggingFaceTB,SmolLM2-360M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct
