hf_org,region,notes
01-ai,china,
agentica-org,us,
AI-MO,eu,
ai21labs,us,
AIDC-AI,china,Legacy Hugging Face namespace renamed to ATH-MaaS.
Alibaba-NLP,china,
allenai,us,
allura-forge,unknown,Pseudonymous multi-member community with no disclosed primary base.
amd,us,
answerdotai,us,
apple,us,
arcee-ai,us,
ATH-MaaS,china,
BAAI,china,
baichuan-inc,china,
baidu,china,
bigcode,unknown,Distributed international collaboration without a single primary base.
black-forest-labs,eu,
ByteDance,china,
ByteDance-Seed,china,
CohereForAI,other,Legacy Hugging Face namespace renamed to CohereLabs.
CohereLabs,other,
datalab-to,us,
deepcogito,us,
deepseek-ai,china,
docling-project,eu,Project started by the AI for Knowledge team at IBM Research Zurich.
EleutherAI,unknown,Distributed research collective without a single primary base.
facebook,us,Legacy Meta research namespace.
FacebookAI,us,Legacy Meta namespace used by ATOM derivatives data.
fal,us,
FireRedTeam,china,
Freepik,eu,
GAIR,china,
google,us,
GSAI-ML,china,
h2oai,us,
Hcompany,eu,
huawei-noah,china,
HuggingFaceFW,us,
HuggingFaceM4,us,
HuggingFaceTB,us,
ibm-granite,us,
ibm-research,us,
inclusionAI,china,
internlm,china,
jdopensource,china,
JetBrains,eu,
jinaai,eu,
Kwaipilot,china,
kyutai,eu,
laion,eu,
LGAI-EXAONE,other,
lightonai,eu,
LiquidAI,us,
llava-hf,us,
llm-jp,other,
LLM360,other,
meituan-longcat,china,
meta-llama,us,
microsoft,us,
MiniMaxAI,china,
mistral-community,eu,Official Mistral community namespace.
mistralai,eu,
moondream,us,
moonshotai,china,
Motif-Technologies,other,
Nexusflow,us,
nomic-ai,us,
NousResearch,us,
nvidia,us,
open-r1,us,
open-thoughts,unknown,Multinational collaboration without a single primary base.
openai,us,
openbmb,china,
opendatalab,china,
OpenGVLab,china,
OpenHands,us,
openvla,us,
PaddlePaddle,china,
Photoroom,eu,
PleIAs,eu,
poolside,us,
PRIME-RL,china,
PrimeIntellect,us,
Qwen,china,
rednote-hilab,china,
RekaAI,us,
Salesforce,us,
sarvamai,other,
sensenova,china,
ServiceNow-AI,us,
skt,other,
Skywork,china,
Snowflake,us,
stabilityai,eu,
state-spaces,us,
stepfun-ai,china,
swiss-ai,eu,
tencent,china,
thinkingmachines,us,
THUDM,china,Legacy GLM namespace now represented by zai-org.
tiiuae,other,
TildeAI,eu,
TinyLlama,other,
tngtech,eu,
Tongyi-MAI,china,
trillionlabs,other,
typhoon-ai,other,
upstage,other,
vidore,eu,
vikhyatk,us,Legacy Moondream author namespace.
Wan-AI,china,
xai-org,us,
XiaomiMiMo,china,
Yi,china,Legacy 01.AI namespace used by ATOM derivatives data.
zai-org,china,
zed-industries,us,
Zyphra,us,
