model_id,total_params_b,group,notes
deepseek-ai/DeepSeek-R1,671,"R1 family (MoE) - 671B total, 37B active",Note: HF shows 685B due to 14B MTP module included in weights
deepseek-ai/DeepSeek-R1-Zero,671,"R1 family (MoE) - 671B total, 37B active",Note: HF shows 685B due to 14B MTP module included in weights
deepseek-ai/DeepSeek-R1-0528,671,"R1 family (MoE) - 671B total, 37B active",Note: HF shows 685B due to 14B MTP module included in weights
deepseek-ai/DeepSeek-V3,671,"V3 family (MoE) - 671B total, 37B active",
deepseek-ai/DeepSeek-V3-0324,671,"V3 family (MoE) - 671B total, 37B active",
deepseek-ai/DeepSeek-V3-Base,671,"V3 family (MoE) - 671B total, 37B active",
deepseek-ai/DeepSeek-V3.1,671,"V3 family (MoE) - 671B total, 37B active",
deepseek-ai/DeepSeek-V3.1-Base,671,"V3 family (MoE) - 671B total, 37B active",
deepseek-ai/DeepSeek-V3.1-Terminus,671,"V3 family (MoE) - 671B total, 37B active",
deepseek-ai/DeepSeek-V3.2,685,V3.2 family (MoE) - 685B total (same arch as V3),
deepseek-ai/DeepSeek-V3.2-Exp,685,V3.2 family (MoE) - 685B total (same arch as V3),
deepseek-ai/DeepSeek-V3.2-Exp-Base,685,V3.2 family (MoE) - 685B total (same arch as V3),
deepseek-ai/DeepSeek-V3.2-Speciale,685,V3.2 family (MoE) - 685B total (same arch as V3),
deepseek-ai/DeepSeek-Math-V2,685,"Math-V2 (MoE, same arch as V3.2) - 685B total",
deepseek-ai/DeepSeek-OCR,3.3,OCR models (small dense),
deepseek-ai/DeepSeek-OCR-2,3.4,OCR models (small dense),
deepseek-ai/DeepSeek-V2,236,"V2 family (MoE) - 236B total, 21B active",
deepseek-ai/DeepSeek-V2-Chat,236,"V2 family (MoE) - 236B total, 21B active",
deepseek-ai/DeepSeek-V2-Chat-0628,236,"V2 family (MoE) - 236B total, 21B active",
deepseek-ai/DeepSeek-V2.5,236,"V2 family (MoE) - 236B total, 21B active",
deepseek-ai/DeepSeek-V2.5-1210,236,"V2 family (MoE) - 236B total, 21B active",
deepseek-ai/DeepSeek-V2-Lite,15.7,"V2-Lite (MoE) - 15.7B total, 2.4B active",
deepseek-ai/DeepSeek-V2-Lite-Chat,15.7,"V2-Lite (MoE) - 15.7B total, 2.4B active",
deepseek-ai/DeepSeek-Coder-V2-Base,236,"Coder-V2 (MoE) - 236B total, 21B active",
deepseek-ai/DeepSeek-Coder-V2-Instruct,236,"Coder-V2 (MoE) - 236B total, 21B active",
deepseek-ai/DeepSeek-Coder-V2-Instruct-0724,236,"Coder-V2 (MoE) - 236B total, 21B active",
deepseek-ai/DeepSeek-Coder-V2-Lite-Base,16,"Coder-V2-Lite - 16B total, 2.4B active",
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,16,"Coder-V2-Lite - 16B total, 2.4B active",
deepseek-ai/DeepSeek-Prover-V1,7,Prover - 7B dense,
deepseek-ai/DeepSeek-Prover-V1.5-Base,7,Prover - 7B dense,
deepseek-ai/DeepSeek-Prover-V1.5-RL,7,Prover - 7B dense,
deepseek-ai/DeepSeek-Prover-V1.5-SFT,7,Prover - 7B dense,
deepseek-ai/deepseek-vl2,27,"VL2 (vision-language, MoE backbone)",
deepseek-ai/deepseek-vl2-small,16,"VL2 (vision-language, MoE backbone)",
deepseek-ai/deepseek-vl2-tiny,3,"VL2 (vision-language, MoE backbone)",
deepseek-ai/deepseek-coder-5.7bmqa-base,5.7,Legacy coder,
microsoft/phi-1,1.3,Microsoft Phi,
microsoft/phi-1_5,1.3,Microsoft Phi,
microsoft/phi-2,2.7,Microsoft Phi,
microsoft/phi-2-pytdml,2.7,Microsoft Phi,
microsoft/phi-4,14,Microsoft Phi,
microsoft/Phi-3-mini-4k-instruct,3.8,Phi-3 family,
microsoft/Phi-3-mini-128k-instruct,3.8,Phi-3 family,
microsoft/Phi-3-small-8k-instruct,7,Phi-3 family,
microsoft/Phi-3-small-128k-instruct,7,Phi-3 family,
microsoft/Phi-3-medium-4k-instruct,14,Phi-3 family,
microsoft/Phi-3-medium-128k-instruct,14,Phi-3 family,
microsoft/Phi-3-vision-128k-instruct,4.2,Phi-3 family,
microsoft/Phi-3.5-mini-instruct,3.8,Phi-3.5 family,
microsoft/Phi-3.5-vision-instruct,4.2,Phi-3.5 family,
microsoft/Phi-3.5-MoE-instruct,42,Phi-3.5 family,16x3.8B MoE
microsoft/Phi-4-mini-instruct,3.8,Phi-4 family,
microsoft/Phi-4-mini-reasoning,3.8,Phi-4 family,
microsoft/Phi-4-multimodal-instruct,5.6,Phi-4 family,
microsoft/Phi-4-reasoning,14,Phi-4 family,
microsoft/Phi-4-reasoning-plus,14,Phi-4 family,
microsoft/Phi-mini-MoE-instruct,6.6,Phi MoE variants,estimate
microsoft/Phi-tiny-MoE-instruct,3.3,Phi MoE variants,estimate
mistralai/Mistral-Large-Instruct-2407,123,Mistral,
mistralai/Mistral-Large-Instruct-2411,123,Mistral,
mistralai/Mistral-Nemo-Base-2407,12,Mistral,
mistralai/Mistral-Nemo-Instruct-2407,12,Mistral,
mistralai/Mistral-Small-Instruct-2409,22,Mistral,
mistralai/Pixtral-Large-Instruct-2411,124,Mistral,
mistral-community/Pixtral-Large-Instruct-2411,124,Mistral,
mistralai/Mixtral-8x7B-v0.1,46.7,"Mixtral 8x7B (MoE) - 46.7B total, 12.9B active",
mistralai/Mixtral-8x7B-Instruct-v0.1,46.7,"Mixtral 8x7B (MoE) - 46.7B total, 12.9B active",
mistralai/Mixtral-8x22B-v0.1,140.6,"Mixtral 8x22B (MoE) - 140.6B total, 39B active",
mistralai/Mixtral-8x22B-Instruct-v0.1,140.6,"Mixtral 8x22B (MoE) - 140.6B total, 39B active",
mistral-community/Mixtral-8x22B-v0.1,140.6,"Mixtral 8x22B (MoE) - 140.6B total, 39B active",
mistral-community/Mixtral-8x22B-v0.1-original,140.6,"Mixtral 8x22B (MoE) - 140.6B total, 39B active",
mistral-community/mixtral-8x22B-Instruct-v0.3-original,140.6,"Mixtral 8x22B (MoE) - 140.6B total, 39B active",
mistral-community/mixtral-8x22B-v0.3,140.6,"Mixtral 8x22B (MoE) - 140.6B total, 39B active",
mistral-community/mixtral-8x22B-v0.3-original,140.6,"Mixtral 8x22B (MoE) - 140.6B total, 39B active",
mistralai/Devstral-Small-2505,24,Small 3 / Devstral / Magistral (24B),
mistralai/Magistral-Small-2506,24,Small 3 / Devstral / Magistral (24B),
mistralai/Magistral-Small-2507,24,Small 3 / Devstral / Magistral (24B),
mistralai/Magistral-Small-2509,24,Small 3 / Devstral / Magistral (24B),
ai21labs/AI21-Jamba-Large-1.5,398,"Jamba-Large: 398B total, 94B active",
ai21labs/AI21-Jamba-Large-1.6,398,"Jamba-Large: 398B total, 94B active",
ai21labs/AI21-Jamba-Large-1.7,398,"Jamba-Large: 398B total, 94B active",
ai21labs/AI21-Jamba-Large-1.7-FP8,398,"Jamba-Large: 398B total, 94B active",
ai21labs/AI21-Jamba-Mini-1.5,52,"Jamba-Mini: 52B total, 12B active",
