model_id,total_params_b,active_params_b,is_moe,notes
deepseek-ai/DeepSeek-R1,671,37,,"Legacy data; not recently reviewed. R1 family (MoE) - 671B total, 37B active; Note: HF shows 685B due to 14B MTP module included in weights"
deepseek-ai/DeepSeek-R1-Zero,671,37,,"Legacy data; not recently reviewed. R1 family (MoE) - 671B total, 37B active; Note: HF shows 685B due to 14B MTP module included in weights"
deepseek-ai/DeepSeek-R1-0528,671,37,true,HF safetensors may include a 14B MTP module.
deepseek-ai/DeepSeek-V3,671,37,,"Legacy data; not recently reviewed. V3 family (MoE) - 671B total, 37B active"
deepseek-ai/DeepSeek-V3-0324,671,37,,"Legacy data; not recently reviewed. V3 family (MoE) - 671B total, 37B active"
deepseek-ai/DeepSeek-V3-Base,671,37,,"Legacy data; not recently reviewed. V3 family (MoE) - 671B total, 37B active"
deepseek-ai/DeepSeek-V3.1,671,37,,"Legacy data; not recently reviewed. V3 family (MoE) - 671B total, 37B active"
deepseek-ai/DeepSeek-V3.1-Base,671,37,,"Legacy data; not recently reviewed. V3 family (MoE) - 671B total, 37B active"
deepseek-ai/DeepSeek-V3.1-Terminus,671,37,,"Legacy data; not recently reviewed. V3 family (MoE) - 671B total, 37B active"
deepseek-ai/DeepSeek-V3.2,685,,,Legacy data; not recently reviewed. V3.2 family (MoE) - 685B total (same arch as V3)
deepseek-ai/DeepSeek-V3.2-Exp,685,,,Legacy data; not recently reviewed. V3.2 family (MoE) - 685B total (same arch as V3)
deepseek-ai/DeepSeek-V3.2-Exp-Base,685,,,Legacy data; not recently reviewed. V3.2 family (MoE) - 685B total (same arch as V3)
deepseek-ai/DeepSeek-V3.2-Speciale,685,,,Legacy data; not recently reviewed. V3.2 family (MoE) - 685B total (same arch as V3)
deepseek-ai/DeepSeek-Math-V2,685,,,"Legacy data; not recently reviewed. Math-V2 (MoE, same arch as V3.2) - 685B total"
deepseek-ai/DeepSeek-OCR,3.3,,,Legacy data; not recently reviewed. OCR models (small dense)
deepseek-ai/DeepSeek-OCR-2,3.4,,,Legacy data; not recently reviewed. OCR models (small dense)
deepseek-ai/DeepSeek-V2,236,21,,"Legacy data; not recently reviewed. V2 family (MoE) - 236B total, 21B active"
deepseek-ai/DeepSeek-V2-Chat,236,21,,"Legacy data; not recently reviewed. V2 family (MoE) - 236B total, 21B active"
deepseek-ai/DeepSeek-V2-Chat-0628,236,21,,"Legacy data; not recently reviewed. V2 family (MoE) - 236B total, 21B active"
deepseek-ai/DeepSeek-V2.5,236,21,,"Legacy data; not recently reviewed. V2 family (MoE) - 236B total, 21B active"
